Date,Month,Year,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI,Holiday
30,11,2024,6,118.79,427.27,60.7,15.43,0.85,34.05,351,No Holiday
1,12,2024,7,74.84,285.99,53.01,15.43,1.34,32.44,285,Holiday
2,12,2024,1,77.27,291.8,53.33,15.43,1.33,39.1,220,No Holiday
3,12,2024,2,72.05,277.28,50.31,15.43,1.29,45.2,274,No Holiday
4,12,2024,3,45.29,182.91,41.34,15.43,0.74,42.53,166,No Holiday
5,12,2024,4,49.4,193.15,45.35,15.43,0.77,40.96,155,No Holiday
6,12,2024,5,55.49,222.89,50.54,15.43,0.96,43.59,184,No Holiday
7,12,2024,6,61.06,251.34,57.16,15.43,1.17,28.76,206,No Holiday
8,12,2024,7,100.48,345.03,74.52,15.43,1.6,46.6,302,Holiday
9,12,2024,1,48.64,167.16,45.01,15.43,0.79,46.66,152,No Holiday
10,12,2024,2,60.03,208.64,39.02,15.43,0.79,37.99,163,No Holiday
11,12,2024,3,56.3,223.56,41.92,15.43,0.87,26.55,171,No Holiday
12,12,2024,4,77.01,297.75,48.59,15.43,1.1,26.56,273,No Holiday
13,12,2024,5,60.57,225.21,40.4,15.43,0.79,30.59,201,No Holiday
14,12,2024,6,74.03,278.47,45.4,15.43,1.01,33.46,175,No Holiday
15,12,2024,7,105.21,379.62,60.5,15.43,1.44,34.37,293,Holiday
16,12,2024,1,161.17,199.8,72.29,15.43,0.85,29.15,390,No Holiday
17,12,2024,2,168.01,199.8,30.49,15.43,0.85,28.91,442,No Holiday
18,12,2024,3,167.79,199.8,64.93,15.43,0.85,32.59,441,No Holiday
19,12,2024,4,136.81,199.8,48.65,15.43,0.85,34.59,460,No Holiday
20,12,2024,5,125.73,435.96,41.43,15.43,1.18,29.82,382,No Holiday
21,12,2024,6,96.36,379.74,57.59,15.43,1.59,30.55,333,No Holiday
22,12,2024,7,135.05,507.69,68.82,15.43,0.85,31.43,392,Holiday
23,12,2024,1,136.27,506.57,63.35,15.43,0.85,30.7,418,No Holiday
24,12,2024,2,88.98,327.4,49.58,15.43,1.29,32.15,303,No Holiday
25,12,2024,3,86.53,344.46,52.68,15.43,1.34,29.75,309,Holiday
26,12,2024,4,86.75,333.56,52.0,15.43,1.18,36.3,292,No Holiday
27,12,2024,5,58.43,249.17,41.69,15.43,0.99,36.25,263,No Holiday
28,12,2024,6,33.83,150.77,33.31,15.43,0.79,35.19,113,No Holiday
29,12,2024,7,31.21,139.75,27.01,15.43,0.57,35.88,142,Holiday
30,12,2024,1,38.01,152.83,29.12,15.43,0.55,38.38,116,No Holiday
31,12,2024,2,80.42,318.96,40.37,15.43,0.84,39.93,209,No Holiday
